Ресурсы                                                                                                                 | Сундуки         | Выход      | Дата               
----------------------------------------------------------------------------------------------------------------------- | --------------- | ---------- | -------------------
Камни o      +/- | Дерево _/`   +/- | Смола ≈      +/- | Медь :.      +/- | Ки @         +/- | Мощь *       +/- | Кр. ♦ | o   8   Ω   Δ   | Ур. Лок.   | День       Время   
11,350           | 23,638           | 295,001          | 26,903           | 2,892,173        |                  |       | 64  268 46  14  | 7*  Плато  | 02.07.2021 17:27:02
11,844        +  | 23,638        =  | 289,556       -  | 26,903        =  | 2,887,128     +  |                  |       | 60  274 56  10  | 7*  Плато  | 04.07.2021 17:47:54
11,941        +  | 23,638        =  | 288,774       -  | 26,903        =  | 2,889,223     -  |                  |       | 28  105 21  2   | 7*  Плато  | 04.07.2021 22:26:22
12,061        +  | 23,638        =  | 287,463       -  | 26,903        =  | 2,883,935     -  |                  |       | 1   15  3   1   | 7*  Плато  | 05.07.2021 09:01:48
12,283        +  | 23,638        =  | 285,199       -  | 26,903        =  | 2,880,244     -  |                  |       | 0   7   0   1   | 7*  Плато  | 06.07.2021 13:10:03
12,288        +  | 23,638        =  | 285,133       -  | 26,903        =  | 2,880,372     +  |                  |       | 2   6   4   0   | 7*  Плато  | 06.07.2021 13:35:24
12,409        +  | 23,638        =  | 283,502       -  | 26,903        =  | 2,883,583     +  |                  |       | 48  206 31  9   | 7*  Плато  | 06.07.2021 21:11:32
12,958        +  | 23,638        =  | 278,197       -  | 26,903        =  | 2,885,623     +  |                  |       | 25  104 19  8   | 7*  Плато  | 08.07.2021 14:14:30
13,112        +  | 23,638        =  | 276,699       -  | 26,903        =  | 2,888,076     +  |                  |       | 50  183 30  7   | 7*  Плато  | 08.07.2021 21:13:31
13,336        +  | 23,638        =  | 274,479       -  | 26,903        =  | 2,884,394     -  |                  |       | 47  288 57  8   | 7*  Плато  | 09.07.2021 10:21:27
13,513        +  | 23,638        =  | 272,259       -  | 26,903        =  | 2,888,203     +  |                  |       | 53  271 63  13  | 7*  Плато  | 09.07.2021 21:44:52
13,742        +  | 23,638        =  | 270,039       -  | 26,903        =  | 2,884,580     -  |                  |       | 54  293 41  12  | 7*  Плато  | 10.07.2021 08:38:01
13,969        +  | 23,638        =  | 267,819       -  | 26,903        =  | 2,881,105     -  |                  |       | 66  267 51  16  | 7*  Плато  | 11.07.2021 08:21:39
14,140        +  | 23,638        =  | 265,599       -  | 26,903        =  | 2,885,522     +  |                  |       | 59  271 59  11  | 7*  Плато  | 11.07.2021 22:25:11
14,393        +  | 23,638        =  | 263,058       -  | 26,903        =  | 2,882,633     -  |                  |       | 56  274 55  15  | 7*  Плато  | 12.07.2021 10:12:41
14,872        +  | 23,638        =  | 258,618       -  | 26,903        =  | 2,882,764     +  |                  |       | 61  273 53  13  | 15* Пещеры | 13.07.2021 10:09:18
14,872        =  | 23,638        =  | 261,086       +  | 26,903        =  | 2,890,181     +  |                  |       | 333 40  23  4   | 15* Пещеры | 13.07.2021 20:48:47
14,872        =  | 23,638        =  | 263,341       +  | 26,903        =  | 2,890,985     +  |                  |       | 312 55  30  3   | 7*  Плато  | 14.07.2021 07:52:30
15,669        +  | 23,638        =  | 254,461       -  | 26,903        =  | 2,890,465     -  |                  |       | 46  264 73  17  | 15* Плато  | 23.07.2021 08:00:17
15,669        =  | 23,638        =  | 256,490       +  | 26,903        =  | 2,899,446     +  |                  |       | 345 28  22  5   | 15* Пещеры | 23.07.2021 22:07:08
15,669        =  | 23,638        =  | 258,872       +  | 26,903        =  | 2,899,690     +  |                  |       | 336 38  24  2   | 15* Пещеры | 24.07.2021 08:43:20
15,669        =  | 23,638        =  | 261,322       +  | 26,903        =  | 2,907,617     +  |                  |       | 327 47  22  4   | 15* Пещеры | 24.07.2021 20:45:11
15,669        =  | 23,638        =  | 263,342       +  | 26,903        =  | 2,908,314     +  |                  |       | 328 49  20  3   | 15* Пещеры | 25.07.2021 08:05:17
15,669        =  | 23,638        =  | 265,517       +  | 26,903        =  | 2,917,034     +  |                  |       | 308 46  34  0   | 15* Пещеры | 25.07.2021 18:58:59
15,669        =  | 23,638        =  | 268,102       +  | 26,903        =  | 2,916,059     -  |                  |       | 331 38  29  2   | 15* Пещеры | 26.07.2021 09:13:29
15,669        =  | 23,638        =  | 271,021       +  | 26,903        =  | 2,922,935     +  |                  |       | 336 40  21  3   | 15* Пещеры | 26.07.2021 17:10:15
15,669        =  | 23,638        =  | 273,367       +  | 26,903        =  | 2,922,655     -  |                  |       | 334 47  16  3   | 15* Пещеры | 27.07.2021 09:20:19
15,669        =  | 23,638        =  | 273,927       +  | 26,903        =  | 2,924,504     +  |                  |       | 69  9   4   2   | 15* Пещеры | 27.07.2021 10:56:47
15,669        =  | 23,638        =  | 276,574       +  | 26,903        =  | 2,932,221     +  |                  |       | 334 45  19  2   | 15* Пещеры | 27.07.2021 20:18:41
15,669        =  | 23,638        =  | 278,949       +  | 26,903        =  | 2,931,796     -  |                  |       | 0   0   0   0   | 15* Пещеры | 28.07.2021 10:22:41
15,669        =  | 23,638        =  | 280,904       +  | 26,903        =  | 2,939,442     +  |                  |       | 320 48  27  5   | 15* Пещеры | 28.07.2021 21:58:43
15,669        =  | 23,638        =  | 283,794       +  | 26,903        =  | 2,939,945     +  |                  |       | 323 40  33  4   | 15* Пещеры | 29.07.2021 10:03:10
15,669        =  | 23,638        =  | 286,636       +  | 26,903        =  | 2,947,041     +  |                  |       | 333 42  23  2   | 15* Пещеры | 29.07.2021 20:54:12
15,669        =  | 23,638        =  | 288,606       +  | 26,903        =  | 2,947,574     +  |                  |       | 335 35  29  1   | 15* Пещеры | 30.07.2021 10:44:55
15,669        =  | 23,638        =  | 291,242       +  | 26,903        =  | 2,956,144     +  |                  |       | 333 43  22  2   | 15* Пещеры | 30.07.2021 21:27:55
15,669        =  | 23,638        =  | 294,154       +  | 26,903        =  | 2,956,180     +  |                  |       | 320 45  28  7   | 15* Пещеры | 31.07.2021 09:13:24
15,669        =  | 23,638        =  | 296,736       +  | 26,903        =  | 2,963,671     +  |                  |       | 310 54  33  3   | 15* Пещеры | 31.07.2021 21:52:54
15,669        =  | 23,638        =  | 301,299       +  | 26,903        =  | 2,973,775     +  |                  |       | 339 32  27  2   | 15* Грибы  | 01.08.2021 22:02:38
